scientific_name,is_invasive,ph_source,inat_taxon_id,growth_rate_Rapid
Abies balsamea,0,species_exact,54261.0,False
Abies bracteata,0,genus_inferred,69867.0,False
Abies concolor,0,species_exact,68087.0,False
Abies fraseri,0,species_exact,136317.0,False
Abies grandis,1,species_exact,63690.0,False
Abies guatemalensis,0,genus_inferred,136320.0,False
Abies lasiocarpa var. arizonica,0,species_exact,,False
Abies lasiocarpa var. lasiocarpa,0,species_exact,,False
Abies magnifica,0,species_exact,68090.0,False
Abies procera,0,species_exact,75242.0,True
Abies veitchii,0,species_exact,136322.0,False
Abutilon theophrasti,1,species_exact,60214.0,False
Acacia acinacea,0,genus_inferred,,False
Acacia acuminata,0,genus_inferred,63148.0,False
Acacia adunca,0,genus_inferred,,False
Acacia alata,0,genus_inferred,145418.0,False
Acacia ampliceps,0,genus_inferred,243731.0,False
Acacia boomanii,0,genus_inferred,,False
Acacia buxifolia,0,genus_inferred,,False
Acacia caesiella,0,genus_inferred,,False
Acacia cambagei,0,genus_inferred,,False
Acacia cardiophylla,0,genus_inferred,,False
Acacia chinchellensis,0,genus_inferred,,False
Acacia brachystachya,0,genus_inferred,,False
Acacia conspersa,0,genus_inferred,,False
Acacia craspedocarpa,0,genus_inferred,,False
Acacia decora,0,genus_inferred,,False
Acacia dietrichiana,0,genus_inferred,,False
Acacia drummondii,0,genus_inferred,,False
Acacia extensa,0,genus_inferred,,False
Acacia gladiiformis,0,genus_inferred,,False
Acacia glandulicarpa,0,genus_inferred,,False
Acacia gracilifolia,0,genus_inferred,,False
Acacia hemiteles,0,genus_inferred,,False
Acacia holosericea,0,genus_inferred,81514.0,False
Acacia irrorata,0,genus_inferred,,False
Acacia koa,0,species_exact,82376.0,False
Acacia kauaiensis,0,genus_inferred,,False
Acacia koaia,0,species_exact,125201.0,True
Acacia lanuginophylla,0,genus_inferred,,False
Acacia leiophylla,0,genus_inferred,,False
Acacia ligulata,0,genus_inferred,243733.0,False
Acacia lineata,0,genus_inferred,,False
Acacia mangium,1,genus_inferred,199319.0,False
Acacia melanoxylon,1,species_exact,53344.0,True
Acacia merrallii,0,genus_inferred,,False
Acacia microcarpa,0,genus_inferred,,False
Acacia mucronata,0,genus_inferred,,False
Acacia multispicata,0,genus_inferred,,False
Acacia neriifolia,0,genus_inferred,57041.0,False
Acacia notabilis,0,genus_inferred,,False
Acacia omalophylla,0,genus_inferred,,False
Acacia oswaldii,0,genus_inferred,,False
Acacia oxycedrus,0,genus_inferred,,False
Acacia pachyceras,0,genus_inferred,,False
Acacia parramattensis,0,genus_inferred,157871.0,False
Acacia prominens,0,genus_inferred,,False
Acacia pyrifolia,0,genus_inferred,,False
Acacia quornensis,0,genus_inferred,139868.0,False
Acacia ramulosa,0,genus_inferred,,False
Acacia retusa,0,genus_inferred,,False
Acacia richii,0,genus_inferred,188907.0,False
Acacia rigens,0,genus_inferred,,False
Acacia rivalis,0,genus_inferred,,False
Acacia rubida,0,genus_inferred,244348.0,False
Acacia rupicola,0,genus_inferred,,False
Acacia salicina,0,genus_inferred,,False
Acacia sclerosperma,0,genus_inferred,243732.0,False
Acacia scleroxyla,0,genus_inferred,,False
Acacia silvestris,0,genus_inferred,,False
Acacia spectabilis,0,genus_inferred,,False
Acacia stenophylla,0,genus_inferred,61361.0,False
Acacia stricta,0,genus_inferred,,False
Acacia suaveolens,0,genus_inferred,,False
Acacia subulata,0,genus_inferred,,False
Acacia tetragonophylla,0,genus_inferred,,False
Acacia urophylla,0,genus_inferred,,False
Acacia victoriae,1,genus_inferred,122825.0,False
Acacia wattsiana,0,genus_inferred,,False
Acalypha virginica,0,species_exact,119799.0,True
Acanthus mollis,0,species_exact,70045.0,False
Acer xfreemanii,0,genus_inferred,,False
Acer buergerianum,0,genus_inferred,,False
Acer campestre,0,species_exact,56193.0,False
Acer circinatum,0,species_exact,48258.0,False
Acer cissifolium,0,genus_inferred,,False
Acer glabrum var. glabrum,0,species_exact,,True
Acer grandidentatum var. grandidentatum,0,species_exact,,False
Acer leucoderme saccharum,0,genus_inferred,,False
Acer senecaense,0,genus_inferred,,False
Acer negundo,1,species_exact,47726.0,True
Acer opalus,0,species_exact,198881.0,False
Acer obtusatum,0,genus_inferred,,False
Acer palmatum,0,species_exact,63512.0,False
Acer pensylvanicum,0,species_exact,48095.0,False
Acer pseudoplatanus,1,species_exact,119791.0,False
Acer rubrum,0,species_exact,48098.0,True
Acer saccharum var. rugellii,0,species_exact,,False
Acer spicatum,0,species_exact,116361.0,False
Acer tataricum var. torminaloides,0,genus_inferred,,False
Achillea aegyptiaca,0,genus_inferred,,False
Achillea taygetea,0,genus_inferred,,False
Achillea ageratifolia,0,genus_inferred,52816.0,False
Achillea alpina,0,genus_inferred,,False
Achillea biserrata,0,genus_inferred,,False
Achillea clavennae,0,genus_inferred,55650.0,False
Achillea clusiana,0,genus_inferred,,False
Achillea clypeolata,0,genus_inferred,,False
Achillea conferta,0,genus_inferred,,False
Achillea distans,0,species_exact,,False
Achillea erba rotta ssp rupestris,0,genus_inferred,,False
Achillea rupestris,0,genus_inferred,,False
Achillea filipendulina,0,species_exact,157924.0,False
Achillea impatiens,0,genus_inferred,,False
Achillea lingulata,0,genus_inferred,,False
Achillea macrophylla,0,species_exact,,False
Achillea millefolium,1,species_exact,52821.0,False
Achillea millefolium var. millefolium,0,species_exact,,False
Achillea pannonica,0,genus_inferred,,False
Achillea ptarmica,1,species_exact,54055.0,False
Achillea pyrenaica,0,species_exact,,False
Achillea umbellata,0,genus_inferred,,False
Stipa arida,0,genus_inferred,,False
Achnatherum bromoides,0,species_exact,,False
Stipa littoralis,0,genus_inferred,,False
Stipa clandestina,0,genus_inferred,,False
Stipa coronata,0,genus_inferred,,False
Stipa curvifolia,0,genus_inferred,,False
Stipa diegoensis,0,genus_inferred,,False
Stipa latiglumis,0,genus_inferred,,False
Achnatherum lemmonii subsp. lemmonii,0,species_exact,,False
Stipa lemmonii,0,genus_inferred,,False
Stipa lettermanii,0,species_exact,,False
Stipa nelsonii,0,species_exact,,False
Stipa nevadensis,0,genus_inferred,,False
Achnatherum occidentale subsp. occidentale,0,species_exact,,False
Stipa occidentalis,0,genus_inferred,,False
Stipa parishii,0,genus_inferred,,False
